Ville,Arrondissement,Surface (m2),Pièce(s),Prix (€)
PARIS,75008,9,1,536 
PARIS,75019,49.70,2,1446 
PARIS,75016,42.87,1,1480 
PARIS,75013,84.30,4,2550 
PARIS,75015,45.28,2,1650 
PARIS,75019,33.67,2,1060 
PARIS,75015,100.69,4,2450 
PARIS,75015,27.53,1,973 
PARIS,75009,24.01,1,1190 
PARIS,75008,25.02,1,1200 
PARIS,75016,19.31,1,950 
PARIS,75010,59.67,4,1500 
PARIS,75018,20,1,760 
PARIS,75013,33.39,2,1035 
PARIS,75116,44.10,2,1700 
PARIS,75010,64.03,3,2180 
PARIS,75016,57.01,2,1900 
PARIS,75016,193.46,6,6373 
PARIS,75015,50.64,2,1650 
PARIS,75116,32.28,2,1150 
PARIS,75004,44.87,2,1926 
PARIS,75018,10.10,1,385 
PARIS,75015,42.77,2,1440 
PARIS,75017,27.81,1,1089 
PARIS,75116,89.20,3,3980 
PARIS,75005,55.08,3,1929 
PARIS,75005,70.36,3,2283 
PARIS,75015,53.20,3,1685 
PARIS,75116,59,3,2295 
PARIS,75017,47.43,2,1755 
PARIS,75010,10.53,1,650 
PARIS,75016,45.83,3,2800 
PARIS,75116,316.01,6,21500 
PARIS,75015,48,2,1768 
PARIS,75017,30.61,1,1360 
PARIS,75010,53.52,3,1443 
PARIS,75017,97.73,4,3024 
PARIS,75008,93.12,5,3540 
PARIS,75015,53.57,3,1750 
PARIS,75013,30.82,1,1017 
PARIS,75018,33,2,1870 
PARIS,75018,45.14,1,1190 
PARIS,75019,40,2,1280 
PARIS,75020,40,2,1499 
PARIS,75116,32.28,2,1450 
PARIS,75020,52.28,2,1660 
PARIS,75013,33.90,1,1080 
PARIS,75013,30,2,1300 
PARIS,75016,80.06,4,2586 
PARIS,75019,57.37,3,1752 
PARIS,75018,48.54,3,2050 
PARIS,75019,70.39,3,2405 
PARIS,75013,70.98,3,1700 
PARIS,75013,77.27,4,1970 
PARIS,75004,85.07,3,2790 
PARIS,75006,48.41,2,2055 
PARIS,75013,52.60,3,1650 
PARIS,75018,37.83,2,1300 
PARIS,75012,31.25,1,995 
PARIS,75008,33.22,1,1750 
PARIS,75016,14.67,1,700 
PARIS,75015,30.56,1,880 
PARIS,75016,33.51,1,1150 
PARIS,75003,35,1,1780 
PARIS,75016,80,4,2900 
PARIS,75007,47.22,3,2650 
PARIS,75016,113.54,4,4500 
PARIS,75015,34.66,2,1200 
PARIS,75020,84.09,4,2257 
PARIS,75009,46.81,2,2125 
PARIS,75006,252.40,12,15720 
