Adresse,Ville,Arrondissement,Type,Prix (€),Prix mensuel (€),Pièce(s),Surface (m2),Date de vente
270 RUE SAINT-HONORÉ,PARIS,75001,Appartement,750400,14431,2,52,22/05/2023
186 RUE DE RIVOLI,PARIS,75001,Appartement,330000,14348,1,23,28/04/2023
23 RUE DE RICHELIEU,PARIS,75001,Appartement,360100,15657,1,23,29/03/2023
27 RUE DE RICHELIEU,PARIS,75001,Appartement,286123,11005,1,26,10/02/2023
272 RUE SAINT-HONORÉ,PARIS,75001,Appartement,411636,12864,2,32,28/12/2022
258 RUE SAINT-HONORÉ,PARIS,75001,Appartement,334120,12375,1,27,16/12/2022
4 AVENUE DE L'OPÉRA,PARIS,75001,Appartement,1920000,12800,5,150,09/11/2022
280 RUE SAINT-HONORÉ,PARIS,75001,Appartement,406000,11278,2,36,13/10/2022
23 RUE DE RICHELIEU,PARIS,75001,Appartement,280000,12727,2,22,05/10/2022
23 RUE DE RICHELIEU,PARIS,75001,Appartement,50000,2500,1,20,19/09/2022
280 RUE SAINT-HONORÉ,PARIS,75001,Appartement,403000,14926,1,27,09/09/2022
276 RUE SAINT-HONORÉ,PARIS,75001,Appartement,377000,12567,1,30,06/09/2022
23 RUE DE RICHELIEU,PARIS,75001,Appartement,288000,13714,1,21,21/06/2022
260 RUE SAINT-HONORÉ,PARIS,75001,Appartement,732000,14640,2,50,01/06/2022
4 AVENUE DE L'OPÉRA,PARIS,75001,Appartement,14000,255,3,55,23/05/2022
276 RUE SAINT-HONORÉ,PARIS,75001,Appartement,550000,14474,3,38,16/05/2022
280 RUE SAINT-HONORÉ,PARIS,75001,Appartement,353000,12172,1,29,03/05/2022
280 RUE SAINT-HONORÉ,PARIS,75001,Appartement,339500,11707,1,29,03/05/2022
270 RUE SAINT-HONORÉ,PARIS,75001,Appartement,1620000,14336,3,113,27/04/2022
186 RUE DE RIVOLI,PARIS,75001,Appartement,225000,8036,2,28,08/04/2022
177 RUE SAINT-HONORÉ,PARIS,75001,Appartement,2740000,11369,6,241,08/04/2022
270 RUE SAINT-HONORÉ,PARIS,75001,Appartement,330000,13750,1,24,14/03/2022
23 RUE DE RICHELIEU,PARIS,75001,Appartement,535885,12462,2,43,31/01/2022
280 RUE SAINT-HONORÉ,PARIS,75001,Appartement,295000,14750,1,20,16/11/2021
280 RUE SAINT-HONORÉ,PARIS,75001,Appartement,275000,13750,1,20,25/08/2021
262 RUE SAINT-HONORÉ,PARIS,75001,Appartement,210000,16154,1,13,28/06/2021
23 RUE DE RICHELIEU,PARIS,75001,Appartement,425000,17708,1,24,10/05/2021
179 RUE SAINT-HONORÉ,PARIS,75001,Appartement,1020000,19615,2,52,21/04/2021
186 RUE DE RIVOLI,PARIS,75001,Appartement,350000,8750,2,40,06/04/2021
8 RUE D'ARGENTEUIL,PARIS,75001,Appartement,2060000,12875,4,160,22/03/2021
262 RUE SAINT-HONORÉ,PARIS,75001,Appartement,265450,11060,1,24,17/03/2021
276 RUE SAINT-HONORÉ,PARIS,75001,Appartement,11000,180,3,61,24/02/2021
173 RUE SAINT-HONORÉ,PARIS,75001,Appartement,635000,12959,3,49,26/01/2021
165 RUE SAINT-HONORÉ,PARIS,75001,Appartement,150000,7500,1,20,01/12/2020
25 RUE DE RICHELIEU,PARIS,75001,Appartement,1700000,12143,3,140,01/12/2020
280 RUE SAINT-HONORÉ,PARIS,75001,Appartement,475000,13571,2,35,01/12/2020
274 RUE SAINT-HONORÉ,PARIS,75001,Appartement,1124250,14793,3,76,30/11/2020
276 RUE SAINT-HONORÉ,PARIS,75001,Appartement,350000,10938,3,32,07/10/2020
25 RUE DE RICHELIEU,PARIS,75001,Appartement,412000,12875,2,32,22/09/2020
280 RUE SAINT-HONORÉ,PARIS,75001,Appartement,436610,13644,1,32,28/08/2020
280 RUE SAINT-HONORÉ,PARIS,75001,Appartement,439000,19087,1,23,05/08/2020
280 RUE SAINT-HONORÉ,PARIS,75001,Appartement,477000,14029,2,34,27/07/2020
23 RUE DE RICHELIEU,PARIS,75001,Appartement,314150,13090,1,24,09/07/2020
179 RUE SAINT-HONORÉ,PARIS,75001,Appartement,3200000,21192,3,151,09/07/2020
3 RUE DE L'ECHELLE,PARIS,75001,Appartement,2603550,19004,6,137,06/07/2020
270 RUE SAINT-HONORÉ,PARIS,75001,Appartement,250000,11364,1,22,11/06/2020
27 RUE DE RICHELIEU,PARIS,75001,Appartement,890105,14592,2,61,28/05/2020
27 RUE DE RICHELIEU,PARIS,75001,Appartement,379848,18992,2,20,27/05/2020
260 RUE SAINT-HONORÉ,PARIS,75001,Appartement,467900,10634,1,44,22/05/2020
8 RUE D'ARGENTEUIL,PARIS,75001,Appartement,2550000,16346,4,156,18/05/2020
10 AVENUE DE L'OPÉRA,PARIS,75001,Appartement,2775000,11758,7,236,03/04/2020
165 RUE SAINT-HONORÉ,PARIS,75001,Appartement,1420000,15955,3,89,13/03/2020
27 RUE DE RICHELIEU,PARIS,75001,Appartement,98000,10889,1,9,10/03/2020
23 RUE DE RICHELIEU,PARIS,75001,Appartement,179900,9468,1,19,20/02/2020
4 AVENUE DE L'OPÉRA,PARIS,75001,Appartement,945264,17187,3,55,13/12/2019
23 RUE DE RICHELIEU,PARIS,75001,Appartement,220000,12941,1,17,12/12/2019
186 RUE DE RIVOLI,PARIS,75001,Appartement,350000,12963,2,27,05/12/2019
3 RUE DE L'ECHELLE,PARIS,75001,Appartement,2470000,15833,5,156,27/11/2019
186 RUE DE RIVOLI,PARIS,75001,Appartement,560000,11667,2,48,14/10/2019
5 RUE MOLIÈRE,PARIS,75001,Appartement,97000,12125,1,8,28/09/2019
274 RUE SAINT-HONORÉ,PARIS,75001,Appartement,905000,12929,2,70,02/08/2019
272 RUE SAINT-HONORÉ,PARIS,75001,Appartement,705700,17642,2,40,02/08/2019
16 RUE DE RICHELIEU,PARIS,75001,Appartement,1380000,13398,3,103,16/07/2019
12 RUE DES PYRAMIDES,PARIS,75001,Appartement,15000,300,2,50,11/07/2019
12 RUE DES PYRAMIDES,PARIS,75001,Appartement,1082,22,2,50,11/07/2019
280 RUE SAINT-HONORÉ,PARIS,75001,Appartement,705000,15000,1,47,27/06/2019
258 RUE SAINT-HONORÉ,PARIS,75001,Appartement,375000,13889,1,27,11/06/2019
179 RUE SAINT-HONORÉ,PARIS,75001,Appartement,2964000,19629,3,151,24/05/2019
262 RUE SAINT-HONORÉ,PARIS,75001,Appartement,368221,11507,2,32,23/05/2019
18 RUE DE RICHELIEU,PARIS,75001,Appartement,750000,16304,2,46,20/05/2019
274 RUE SAINT-HONORÉ,PARIS,75001,Appartement,610000,16486,2,37,20/05/2019
120 RUE MONTMARTRE,PARIS,75002,Appartement,420000,15000,1,28,30/06/2023
138 RUE MONTMARTRE,PARIS,75002,Appartement,995000,14214,3,70,21/06/2023
19 RUE PAUL LELONG,PARIS,75002,Appartement,1100000,11000,5,100,19/06/2023
136 RUE MONTMARTRE,PARIS,75002,Appartement,100,4,2,25,16/06/2023
17 RUE SAINT-JOSEPH,PARIS,75002,Appartement,230000,11500,1,20,15/06/2023
18 RUE DE LA BANQUE,PARIS,75002,Appartement,1690000,16095,4,105,12/06/2023
116 RUE MONTMARTRE,PARIS,75002,Appartement,643650,11919,2,54,16/05/2023
